ds,y,y2
2017-12-09,15178200195,1517820
2017-12-10,15455400391,1545540
2017-12-11,16936800781,1693680
2017-12-12,17415400391,1741540
2017-12-13,16408199219,1640820
2017-12-14,16564000000,1656400
2017-12-15,17706900391,1770690
2017-12-16,19497400391,1949740
2017-12-17,19140800781,1914080
2017-12-18,19114199219,1911420
2017-12-19,17776699219,1777670
2017-12-20,16624599609,1662460
2017-12-21,15802900391,1580290
2017-12-22,13831799805,1383180
2017-12-23,14699200195,1469920
2017-12-24,13925799805,1392580
2017-12-25,14026599609,1402660
2017-12-26,16099799805,1609980
2017-12-27,15838500000,1583850
2017-12-28,14606500000,1460650
2017-12-29,14656200195,1465620
2017-12-30,12952200195,1295220
2017-12-31,14156400391,1415640
2018-01-01,13657200195,1365720
2018-01-02,14982099609,1498210
2018-01-03,15201000000,1520100
2018-01-04,15599200195,1559920
2018-01-05,17429500000,1742950
2018-01-06,17527000000,1752700
2018-01-07,16477599609,1647760
2018-01-08,15170099609,1517010
2018-01-09,14595400391,1459540
2018-01-10,14973299805,1497330
2018-01-11,13405799805,1340580
2018-01-12,13980599609,1398060
2018-01-13,14360200195,1436020
2018-01-14,13772000000,1377200
2018-01-15,13819799805,1381980
2018-01-16,11490500000,1149050
2018-01-17,11188599609,1118860
2018-01-18,11474900391,1147490
2018-01-19,11607400391,1160740
2018-01-20,12899200195,1289920
2018-01-21,11600099609,1160010
2018-01-22,10931400391,1093140
2018-01-23,10868400391,1086840
2018-01-24,11359400391,1135940
2018-01-25,11259400391,1125940
2018-01-26,11171400391,1117140
2018-01-27,11440700195,1144070
2018-01-28,11786299805,1178630
2018-01-29,11296400391,1129640
2018-01-30,10106299805,1010630
2018-01-31,10221099609,1022110
2018-02-01,9170540039,917054
2018-02-02,8830750000,883075
2018-02-03,9174910156,917491
2018-02-04,8277009766,827701
2018-02-05,6955270020,695527
2018-02-06,7754000000,775400
2018-02-07,7621299805,762130
2018-02-08,8265589844,826559
2018-02-09,8736980469,873698
2018-02-10,8621900391,862190
2018-02-11,8129970215,812997
2018-02-12,8926570313,892657
2018-02-13,8598309570,859831
2018-02-14,9494629883,949463
2018-02-15,10166400391,1016640
2018-02-16,10233900391,1023390
2018-02-17,11112700195,1111270
2018-02-18,10551799805,1055180
2018-02-19,11225299805,1122530
2018-02-20,11403700195,1140370
2018-02-21,10690400391,1069040
2018-02-22,10005000000,1000500
2018-02-23,10301099609,1030110
2018-02-24,9813070313,981307
2018-02-25,9664730469,966473
2018-02-26,10366700195,1036670
2018-02-27,10725599609,1072560
2018-02-28,10397900391,1039790
2018-03-01,10951000000,1095100
2018-03-02,11086400391,1108640
2018-03-03,11489700195,1148970
2018-03-04,11512599609,1151260
2018-03-05,11573299805,1157330
2018-03-06,10779900391,1077990
2018-03-07,9965570313,996557
2018-03-08,9395009766,939501
2018-03-09,9337549805,933755
2018-03-10,8866000000,886600
2018-03-11,9578629883,957863
2018-03-12,9205120117,920512
2018-03-13,9194849609,919485
2018-03-14,8269809570,826981
2018-03-15,8300860352,830086
2018-03-16,8338349609,833835
2018-03-17,7916879883,791688
2018-03-18,8223679688,822368
2018-03-19,8630650391,863065
2018-03-20,8913469727,891347
2018-03-21,8929280273,892928
2018-03-22,8728469727,872847
2018-03-23,8879620117,887962
2018-03-24,8668120117,866812
2018-03-25,8495780273,849578
2018-03-26,8209400391,820940
2018-03-27,7833040039,783304
2018-03-28,7954479980,795448
2018-03-29,7165700195,716570
2018-03-30,6890520020,689052
2018-03-31,6973529785,697353
2018-04-01,6844229980,684423
2018-04-02,7083799805,708380
2018-04-03,7456109863,745611
2018-04-04,6853839844,685384
2018-04-05,6811470215,681147
2018-04-06,6636319824,663632
2018-04-07,6911089844,691109
2018-04-08,7023520020,702352
2018-04-09,6770729980,677073
2018-04-10,6834759766,683476
2018-04-11,6968319824,696832
2018-04-12,7889250000,788925
2018-04-13,7895959961,789596
2018-04-14,7986240234,798624
2018-04-15,8329110352,832911
2018-04-16,8058669922,805867
2018-04-17,7902089844,790209
2018-04-18,8163419922,816342
2018-04-19,8294309570,829431
2018-04-20,8845830078,884583
2018-04-21,8895580078,889558
2018-04-22,8802459961,880246
2018-04-23,8930879883,893088
2018-04-24,9697500000,969750
2018-04-25,8845740234,884574
2018-04-26,9281509766,928151
2018-04-27,8987049805,898705
2018-04-28,9348480469,934848
2018-04-29,9419080078,941908
2018-04-30,9240549805,924055
2018-05-01,9119009766,911901
2018-05-02,9235919922,923592
2018-05-03,9743860352,974386
2018-05-04,9700759766,970076
2018-05-05,9858150391,985815
2018-05-06,9654799805,965480
2018-05-07,9373009766,937301
2018-05-08,9234820313,923482
2018-05-09,9325179688,932518
2018-05-10,9043940430,904394
2018-05-11,8441490234,844149
2018-05-12,8504889648,850489
2018-05-13,8723940430,872394
2018-05-14,8716790039,871679
2018-05-15,8510379883,851038
2018-05-16,8368830078,836883
2018-05-17,8094319824,809432
2018-05-18,8250969727,825097
2018-05-19,8247179688,824718
2018-05-20,8513250000,851325
2018-05-21,8418990234,841899
2018-05-22,8041779785,804178
2018-05-23,7557819824,755782
2018-05-24,7587339844,758734
