unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1598745600,2020-08-30 00:00:00,BTC/USD,11471.71,11715.69,11458.62,11708.97,2328.65701886,27266175.17412117
1598659200,2020-08-29 00:00:00,BTC/USD,11538.74,11592.00,11423.64,11471.71,2095.93600275,24043970.002107203
1598572800,2020-08-28 00:00:00,BTC/USD,11332.26,11555.61,11277.95,11536.58,6046.49746388,69755901.71184874
1598486400,2020-08-27 00:00:00,BTC/USD,11462.91,11602.92,11122.72,11330.00,7796.15569663,88330444.0428179
1598400000,2020-08-26 00:00:00,BTC/USD,11328.50,11549.80,11250.14,11469.30,4273.08016903,49009238.382655784
1598313600,2020-08-25 00:00:00,BTC/USD,11750.40,11772.22,11112.75,11328.88,7073.69374623,80137027.60779011
1598227200,2020-08-24 00:00:00,BTC/USD,11653.70,11832.55,11588.61,11761.80,2887.05808264,33956999.75639515
1598140800,2020-08-23 00:00:00,BTC/USD,11678.17,11715.09,11524.70,11644.65,1632.87091819,19014210.337501183
1598054400,2020-08-22 00:00:00,BTC/USD,11527.81,11694.02,11367.00,11667.70,3401.42192253,39686770.565503284
1597968000,2020-08-21 00:00:00,BTC/USD,11857.18,11887.67,11485.49,11531.74,6391.17972721,73701422.90745665
1597881600,2020-08-20 00:00:00,BTC/USD,11762.18,11894.12,11675.29,11859.37,4191.75792092,49711608.134621024
1597795200,2020-08-19 00:00:00,BTC/USD,11950.00,12022.18,11574.40,11757.55,9401.50118445,110538620.25123009
1597708800,2020-08-18 00:00:00,BTC/USD,12301.27,12408.53,11823.00,11958.10,8818.18784117,105448772.02349497
1597622400,2020-08-17 00:00:00,BTC/USD,11916.83,12473.00,11771.44,12298.38,9778.32856833,120257600.4981783
1597536000,2020-08-16 00:00:00,BTC/USD,11858.60,11938.55,11685.97,11914.02,2494.17000289,29715591.29783152
1597449600,2020-08-15 00:00:00,BTC/USD,11771.97,11986.93,11667.70,11852.20,3983.17592982,47209397.75541261
1597363200,2020-08-14 00:00:00,BTC/USD,11797.55,11862.00,11652.01,11779.77,5526.79649808,65104391.58418784
1597276800,2020-08-13 00:00:00,BTC/USD,11567.74,11806.61,11270.91,11793.26,6839.55121466,80660605.75780119
1597190400,2020-08-12 00:00:00,BTC/USD,11386.50,11625.00,11150.00,11565.35,5668.60180464,65559363.88129323
1597104000,2020-08-11 00:00:00,BTC/USD,11896.37,11945.05,11130.00,11392.64,10470.68807136,119288779.74929878
1597017600,2020-08-10 00:00:00,BTC/USD,11684.60,12080.00,11510.00,11895.12,7701.72806914,91612979.5897886
1596931200,2020-08-09 00:00:00,BTC/USD,11767.93,11808.28,11527.92,11683.03,2649.48917649,30954061.533607963
1596844800,2020-08-08 00:00:00,BTC/USD,11601.75,11817.95,11527.00,11776.90,3983.74888665,46916212.263188384
