date,duno,open,max,min,close,vol
2016.11.03,00:00,22746.00,22867.00,22665.00,22738.00,22191
2016.11.04,00:00,22614.00,22778.00,22464.00,22482.00,22844
2016.11.07,00:00,22665.00,22967.00,22635.00,22967.00,16772
2016.11.08,00:00,22935.00,23007.00,22812.00,22919.00,17627
2016.11.09,00:00,23146.00,23167.00,21920.00,22675.00,40378
2016.11.10,00:00,22876.00,22950.00,22556.00,22571.00,24247
2016.11.11,00:00,22657.00,22706.00,22170.00,22235.00,27720
2016.11.14,00:00,22354.00,22365.00,22091.00,22243.00,21820
2016.11.15,00:00,22263.00,22415.00,22218.00,22317.00,20769
2016.11.16,00:00,22451.00,22493.00,22085.00,22183.00,19313
2016.11.17,00:00,22202.00,22375.00,22123.00,22315.00,19345
2016.11.18,00:00,22268.00,22384.00,22131.00,22266.00,19573
2016.11.21,00:00,22304.00,22505.00,22227.00,22366.00,18737
2016.11.22,00:00,22451.00,22718.00,22448.00,22626.00,15485
2016.11.23,00:00,22656.00,22803.00,22521.00,22589.00,21480
2016.11.24,00:00,22594.00,22646.00,22453.00,22604.00,17687
2016.11.25,00:00,22623.00,22811.00,22558.00,22745.00,19343
2016.11.28,00:00,22699.00,22971.00,22694.00,22783.00,19117
2016.11.29,00:00,22733.00,22855.00,22679.00,22786.00,22171
2016.11.30,00:00,22791.00,22908.00,22751.00,22845.00,22331
2016.12.01,00:00,22880.00,22998.00,22811.00,22820.00,27000
2016.12.02,00:00,22739.00,22741.00,22498.00,22687.00,28662
2016.12.05,00:00,22580.00,22670.00,22367.00,22630.00,31963
2016.12.06,00:00,22671.00,22785.00,22627.00,22722.00,22512
2016.12.07,00:00,22770.00,22861.00,22706.00,22859.00,21672
2016.12.08,00:00,23046.00,23116.00,22734.00,22825.00,25858
2016.12.09,00:00,22804.00,22834.00,22640.00,22739.00,24812
2016.12.12,00:00,22833.00,22838.00,22326.00,22369.00,32542
2016.12.13,00:00,22448.00,22569.00,22289.00,22527.00,26634
2016.12.14,00:00,22593.00,22652.00,22430.00,22510.00,23995
2016.12.15,00:00,22309.00,22323.00,21987.00,22096.00,32921
2016.12.16,00:00,22000.00,22140.00,21898.00,21963.00,26575
2016.12.19,00:00,21953.00,22011.00,21741.00,21811.00,24216
2016.12.20,00:00,21790.00,21874.00,21663.00,21804.00,22751
2016.12.21,00:00,21752.00,21926.00,21732.00,21747.00,19063
2016.12.22,00:00,21735.00,21819.00,21520.00,21520.00,21486
2016.12.23,00:00,21558.00,21598.00,21479.00,21484.00,18573
2016.12.28,00:00,21518.00,21794.00,21488.00,21629.00,17953
2016.12.29,00:00,21552.00,21817.00,21526.00,21774.00,20560
